"paramID","R1","R2","R12","GrowthRate","Ss_1","Ss_2","Sr2_1","Sr2_2","Sr1_1","Sr1_2","Sr12_1","Sr12_2","Ts_r1","Ts_r2"
38445115,4.5e+09,5e+06,0,0.0487,0.044614,2.2307,0.044614,0,0.035691,2.2307,0.035691,0,2.154e-10,4.642e-09
35962353,4.5e+09,5,0,0.0487,0.063023,0.23222,0.063023,0,5.7642e-05,0.23222,5.7642e-05,0,2.154e-06,1e-11
35150979,4.5e+09,0,0,0.0487,0.044614,2.2307,0.044614,0,0.035691,2.2307,0.035691,0,0.001,1e-07
35168388,4.5e+09,0,0,0.0487,0.42856,21.428,0.42856,0.0020493,0.03587,21.428,0.03587,0.0020493,2.154e-10,1e-07
37621588,4.5e+09,50000,0,0.0487,0.044614,2.2307,0.044614,0,0.035691,2.2307,0.035691,0,1e-07,2.154e-06
36785987,4.5e+09,500,0,0.0487,0.063023,0.23222,0.063023,0,0.0052751,0.23222,0.0052751,0,1e-07,1e-11
38432807,4.5e+09,5e+06,0,0.0487,0.063023,0.23222,0.063023,0,0,0.23222,0,0,1e-11,1e-11
35167726,4.5e+09,0,0,0.0487,0.42856,21.428,0.42856,0,0.03587,21.428,0.03587,0,2.154e-06,0.001
36798067,4.5e+09,500,0,0.0487,0.044614,2.2307,0.044614,0,0.035691,2.2307,0.035691,0,0.001,4.642e-05
37610741,4.5e+09,50000,0,0.0487,0.063023,0.23222,0.063023,0.0020203,6.0273e-06,0.23222,6.0273e-06,0.0020203,2.154e-10,1e-11
